name,description,latitude,longitude
Galicia,A Coruña,431257958229,-84642836868
Comunitat Valenciana,Alacant,384786378049,-568699068376
Castilla - La Mancha,Albacete,388254086192,-198037326935
Andalucía,Almería,371960852121,-23448128003
País Vasco,Araba,428351264353,-272060346921
"Asturias, Principado de",Asturias,43292357861,-599350932547
Castilla y León,Ávila,405710367492,-494553505619
Extremadura,Badajoz,387097707381,-614158521981
Cataluña,Barcelona,417310008895,198405401772
País Vasco,Bizkaia,432376797057,-285260007926
Castilla y León,Burgos,423687127267,-358574245567
Extremadura,Cáceres,397118899607,-616082194997
Andalucía,Cádiz,365538729195,-57604183752
Cantabria,Cantabria,431975220484,-403002122038
Comunitat Valenciana,Castelló,402413705852,-146777086937
Ceuta,Ceuta,358934069863,-534342403891
Castilla - La Mancha,Ciudad Real,389256128254,-382809764894
Andalucía,Córdoba,379926944409,-480926161095
Castilla - La Mancha,Cuenca,398960496846,-219567153274
País Vasco,Gipuzcoa,431437759117,-219417845709
Cataluña,Girona,421280117119,26735559327
Andalucía,Granada,373125169672,-326788107732
Castilla - La Mancha,Guadalajara,408134495654,-262368878371
Andalucía,Huelva,375771794021,-682930221031
Aragón,Huesca,422030557371,-728865943582
Illes Balears,Illes Balears,395751889864,291229172079
Andalucía,Jaén,380165122783,-344169215171
"Rioja, La",La Rioja,422748706958,-25170441194
Canarias,Las Palmas,283624928216,-145509933924
Castilla y León,León,426199552439,-583988102629
Cataluña,Lleida,420439686698,104798206104
Galicia,Lugo,43011764,-744638404764
Comunidad de Madrid,Madrid,404950873744,-371704619215
Andalucía,Málaga,368138591651,-472586195603
Melilla,Melilla,352908279949,-295053552337
Región de Murcia,Murcia,380023681653,-148575629332
Comunidad Foral de Navarra,Navarra,426672011509,-164611414443
Galicia,Ourense,421964503002,-759259790937
Castilla y León,Palencia,423718338546,-453585717538
Galicia,Pontevedra,42435764706,-846106294738
Castilla y León,Salamanca,408049892162,-606541224773
Canarias,Santa Cruz de Tenerife,283125567678,-17017856743
Castilla y León,Segovia,411710254065,-405415057783
Andalucía,Sevilla,374356699135,-568277303032
Castilla y León,Soria,416207742504,-258874304739
Cataluña,Tarragona,410876143957,818127863314
Aragón,Teruel,406612619615,-815532258446
Castilla - La Mancha,Toledo,397937341614,-414815562595
Comunitat Valenciana,València,393702562375,-800789615081
Castilla y León,Valladolid,416341260695,-484719141141
Castilla y León,Zamora,417271743961,-598053925522
Aragón,Zaragoza,416203648019,-106449678144